type,label,definition,examples
domain,깨짐,"사용자의 발화 의도가 전혀 드러나지 않을 정도로 발화가 불완전, 모호해 **의도 파악 불가한 발화**.","""알렉"", ""이런 식으로 해가지고"", ""네"", ""아"", ""이번"", ""뭐야"", ""틴"", ""청원하던"", ""당에서는 일등하게"" 등"
domain,날씨,"날씨, 기온, 공기질, 기상 등 날씨와 관련된, 또는 그에 대응(옷차림, 우산 등)에 대한 발화.","""오늘 날씨 어때"", ""용문동 날씨는"", ""내일 우산 챙겨야 돼"", ""오늘 비 와"", ""내일 몇 도야"", ""오늘 왜 이렇게 흐려"", ""오늘 날씨 내일에 비해 어때"" 등"
domain,음악,음악 콘텐츠 재생 및 중지 및 음악 검색 등의 발화,"""장범준의 꽃송이가 틀어 봐"", ""음악 틀어 줘"", ""신나는 음악 틀어줘"", ""멜론 음악 틀어줘"", ""재즈 틀어줘"", ""노래 틀어줘"", ""지금 들리는 노래 제목 알려줘"" 등"
domain,라디오,"라디오 재생, 채널 변경, 정지 요청 등의 라디오 관련 발화.","""라디오 틀어줘"", ""SBS 라디오 틀어줘"", ""라디오 꺼줘"" 등"
domain,뉴스,뉴스와 관련된 콘텐츠 요청.,"""오늘 뉴스 알려줘"", ""이재명 뉴스 알려줘"", ""SBS 뉴스 틀어 줘"", ""미국 증시 요약"", ""뉴스 중에 스포츠 뉴스 빼줘"" 등"
domain,시간,시간·날짜·요일 등을 단순 시간에 대한 정보를 묻는 발화,"""지금 몇 시야"", ""오늘 며칠이야"", ""5월 5일은 무슨 요일이야"" 등"
domain,알람,알람 또는 타이머 설정/해제/확인 관련 발화.,"""내일 아침 7시 알람 맞춰줘"", ""타이머 꺼줘"", ""4시 50분 알람 취소해 줘"", ""오늘 오후 12시 30분에 세탁기 예약해야 한다고 알람 설정해 줘"", ""알람 설정 현황 알려 줘"", ""타이머 몇 분 남았니"" 등"
domain,캘린더,"개인의 일정 등록, 확인, 질문 관련 발화.","""5월 10일 일정이 어떻게 돼"", ""4월 15일 19시에 가스검침 일정 추가"", ""아버지 제사가 언제야"", ""Google 캘린더 일정 있어"", ""다음 주는 언제 쉬는 날이야"" 등"
domain,에이전트,음성 에이전트 자체(정체성/기능/상태/설정/기기 연결·관리/사용법 등)에 대한 질문 또는 요청.,"""네가 할 수 있는 일이 뭐야"", ""텔레비전을 너랑 연결하고 싶어"", ""너 목소리 바꿔 줘"", ""에어컨 연결은 어떻게 해"", ""몇 대의 가전제품이 연결돼 있어"", ""왜 내가 부르면 말 안 하냐"" 등"
domain,기기,"가전제품, 조명 등 보유한 기기에 대한 동작 제어, 상태 확인, 문제 해결 및 기능 탐색을 요청","""에어컨 켜 줘"", ""워시타워 얼마나 남았어?"", ""시스템 에어컨 와이파이 연결이 왜 안 될까?"", ""내 로봇 청소기는 어떤 기능이 있어?"", ""거실 조명 다 꺼 줘"", ""공기청정기 켜져 있어?"", ""드럼 세탁기 문이 안 열려"" 등"
domain,HD,"집안 생활(요리, 청소, 인테리어 등)과 관련된 정보를 묻거나 추천을 요청하는 등의 발화","""삶은 계란은 몇 분 정도 끓이면 돼"", ""오늘 점심 뭐 먹으면 좋을까"", ""포세린타일 오염됐을 때 청소법"", ""우리 집엔 어떤 색상이 어울릴까"""
domain,장소,"위치 기반 정보(장소 검색·추천), 길찾기·소요 시간, 교통 상황, 대중교통 도착 정보 등; 이동·장소와 관련된 종합 요청 발화","""용문동 정육점 알려 줘"", ""여기서 제일 가까운 목욕탕이 어디야"", ""청량리 한식 맛집"", ""마곡동에 가족 식사하기 좋은 식당 추천해 줘"", ""엄마 생일에 가기 좋은 식당 추천해 줘"", ""여기에서 대전 여자중학교까지 내가 운전해서 간다면 얼마나 걸려"", ""인천 송도에서 안산역을 차를 타고 갈 거야 가장 빠른 길이 뭐야"", ""지금 차 많이 막혀"", ""서울 가는 교통량"", ""용문역 7번 출구 916번 버스 도착 시간 알려 줘"""
domain,택시,택시 호출 관련 발화.,"""택시 불러줘"", ""서대전역 가는 택시 불러 줘"" 등"
domain,계산,간단한 산술 계산·문제 풀이.,"""이 더하기 이는 얼마야"", ""24 나누기 칠 해 줘"" 등"
domain,번역,단어·구문 등의 번역을 요청하는 발화.,"""코끼리가 영어로 뭐야"", ""잘 자라는 인사말을 일본어로 알려줘"" 등"
