Domain,Intent,Domain_guideline,Intent_strategy,Required_slots,Confirmation_policy,Fallback_question,Response_outline
HD,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
HD,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Chit-Chat,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","가벼운 대화로 응답하되, 사용자의 다음 의도를 탐색하는 질문을 1개 정도 덧붙인다.",,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
MISC,Inquiry,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","사용자 질문에 사실/정책/가능 범위를 답하고, 다음 행동을 안내한다.",질문 대상/정책 항목,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,질문 대상/정책 항목 정보를 알려줄래요?,1) 핵심 답 1줄 2) 근거/세부값 1~2개 3) 다음 선택지(옵션) 1개
MISC,Play,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",미디어를 재생한다. 콘텐츠가 모호하면 장르/채널/플랫폼 선택지를 제안한다.,콘텐츠/채널; 플랫폼(해당 시),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,콘텐츠/채널 / 플랫폼(해당 시) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Recommend,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","추천을 제공한다. 선호/제약(가격, 거리, 취향) 슬롯을 먼저 최소로 확보한다.",추천 대상; 제약(예산/거리/취향),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,추천 대상 / 제약(예산/거리/취향) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
MISC,Search,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",요청한 콘텐츠/정보를 검색해 상위 결과를 요약하고 선택을 받는다.,키워드; 범위(플랫폼/지역/기간),대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,키워드 / 범위(플랫폼/지역/기간) 정보를 알려줄래요?,1) 상위 결과/선택지 2~3개 2) 질문(선택/제약) 1개
계산,Calculate,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.","계산 결과를 제시하고, 과정이 필요하면 간단히 보여준다.",수식/값,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,수식/값 정보를 알려줄래요?,1) 결과 2) (필요시) 간단한 과정/대안
계산,can you,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",의도를 만족하는 정보를 제공하거나 동작을 수행한다. 필수 슬롯이 없으면 질문한다.,,대부분 즉시 응답. 개인정보/결제 등 고위험이면 추가 확인.,,1) 응답 2) 다음 행동 제안
기기,Control,"도메인 범위 내에서만 답하고, 도메인 외 요청이면 재분류/명확화한다.",기기/서비스의 동작을 수행한다. 위험/비가역이면 확인 질문(또는 안전모드) 후 실행한다.,"대상(기기/기능); 명령(무엇을); 값(온도/모드/단계 등, 해당 시)","실행 전 대상이 명확하면 즉시 수행, 모호/다수면 선택 질문. 안전/비가역(전원 차단, 공조 설정 등)은 확인 1회.","어느 기기(예: 거실 조명, 안방 에어컨)를 말할까요?",1) 수행 내용 요약 1줄 2) (필요시) 확인 질문 3) 실행 결과/다음 단계
